Lat,Lon,BP,CP,WP
-29.7874,23.9515,0,0,0
-16.24029,14.904588,0,0,1
13.43122,1.799123,0,0,1
-19.4158,22.0395,0,0,0
-6.12601,36.440201,0,1,0
11.307105,8.119573,0,1,0
0.494473,32.335934,0,1,0
-29.8198,23.9758,0,0,0
-18.048055,36.866937,0,1,0
-2.603463,39.581993,0,0,0
-7.333075,15.760787,0,0,1
-17.7908,31.8557,0,0,0
8.167848,9.90665,0,1,0
5.442548,-0.764775,0,1,0
-27.535,30.0388,0,0,0
-8.000807,37.272369,0,0,0
-24.169653,34.381947,0,0,1
5.423182,-0.709083,0,0,1
-23.07762,26.776621,0,0,0
-6.12151,36.4836,0,0,0
-18.2968,48.7352,0,0,1
5.434675,-0.728883,0,0,0
10.515752,-13.357778,0,0,0
-15.867407,26.098539,0,0,0
-18.003518,36.817497,0,1,0
6.740278,4.629377,0,0,1
8.172992,9.854512,0,1,0
-16.09294,28.266402,0,0,0
-8.02105,37.270351,0,0,0
-6.85162,34.243313,0,0,0
-6.929987,34.194763,0,0,1
-22.846698,35.287992,0,0,1
11.963958,-13.105413,0,0,0
7.046088,9.304748,0,1,0
-6.878633,34.223396,0,0,0
-18.2759,48.6875,0,0,1
-0.148253,39.040543,0,0,0
14.800172,-11.011758,0,1,0
14.843992,-10.96401,0,0,0
-11.666733,34.270072,0,0,1
-13.40278,35.523077,0,1,0
11.308273,39.572636,0,1,0
-13.417607,35.511175,0,0,1
-17.8653,31.8363,0,0,0
-15.830958,26.139908,0,0,0
-15.91097,35.30012,0,1,0
6.780285,4.696635,0,0,1
-12.316283,15.152003,0,1,0
-8.074033,37.269382,,,
-9.1579,29.6499,0,0,0
-5.334045,37.453918,0,0,1
10.876813,-3.50814,0,0,0
-6.08875,36.435982,0,0,0
11.329417,-5.534058,0,1,0
-27.5677,30.0907,0,0,0
-0.150345,38.990334,0,0,0
10.518867,-13.432997,0,0,0
-7.373935,15.719655,0,1,0
13.418405,1.731593,0,0,0
6.717035,4.630037,0,0,1
9.63305,42.660461,0,0,0
7.020702,9.30712,1,1,0
-12.35919,15.143883,0,0,0
-3.030987,33.062672,1,1,0
-8.004462,37.32851,0,0,0
-7.331673,15.687965,0,0,1
9.239532,5.744222,0,0,0
-17.8183,31.8831,0,0,1
8.629188,35.051384,0,0,0
12.452353,-6.309545,0,1,0
8.61844,35.029861,0,1,0
-16.178185,38.990622,0,0,0
7.050697,9.354232,0,1,0
14.831033,-7.823068,0,0,0
6.71556,4.650443,0,1,1
-2.987898,33.060581,0,1,0
-19.41003,28.762927,0,0,1
-19.024152,46.659441,0,1,0
10.924675,-3.533448,1,1,1
13.39504,1.75692,0,0,0
9.17576,5.711345,0,0,0
8.599288,35.000599,0,1,0
-22.804762,35.287882,0,0,1
5.253965,10.251032,0,0,1
-5.381767,37.496696,,1,0
-18.3387,48.7558,0,0,0
-19.4209,22.0793,0,0,0
-7.31065,15.717857,0,0,1
-17.8199,31.8338,0,1,0
-16.244733,14.928503,0,0,1
-22.849915,35.317273,0,0,1
14.821367,-10.967457,0,0,0
5.304273,10.249175,0,0,1
-29.934,22.7603,0,0,0
10.943257,-3.550565,0,0,0
5.300458,10.293825,1,1,0
5.282523,10.272248,0,0,1
5.371555,-0.762728,0,1,1
-1.68291,35.806606,0,0,0
-1.730845,35.812714,0,0,0
11.344597,-5.52968,0,0,0
-18.02627,36.798512,0,1,0
-2.620392,39.577393,0,0,0
14.825788,-10.99383,0,0,0
10.909882,-2.62005,0,1,0
14.856313,-7.846765,0,0,0
-6.881358,34.177681,0,0,0
0.5386,32.311714,0,0,1
