CC,Site,PID,ICRAFPID,Lon,Lat
BW,Shoshong,BW-0t4qKA,Shoshong-11-1,26.440973,-23.032326
BW,Shoshong,BW-1Lhlua,Shoshong-8-1,26.417994,-23.011145
BW,Paje,BW-2cDNpd,Paje-15-1,26.5266,-21.7483
BW,Gumare,BW-4wfKGU,Gumare-5-1,22.0395,-19.4158
BW,Shoshong,BW-54rlK3,Shoshong-13-2,26.776621,-23.07762
BW,Shoshong,BW-5K9CIp,Shoshong-1-1,,
BW,Paje,BW-8mhEpt,Paje-14-1,26.526,-21.7707
BW,Paje,BW-95ROtO,Paje-6-1,26.4829,-21.7771
BW,Shoshong,BW-9aoLcl,Shoshong-4-1,,
BW,Shoshong,BW-A0XB56,Shoshong-3-1,,
BW,Gumare,BW-aYmAPx,Gumare-4-1,22.0128,-19.3495
BW,Gumare,BW-bdC3uY,Gumare-3-1,22.0165,-19.3805
BW,Shoshong,BW-bUy4IM,Shoshong-14-1,26.457018,-23.059378
BW,Gumare,BW-C6Gm0M,Gumare-7-1,22.0389,-19.3695
BW,Shoshong,BW-d6RfCS,Shoshong-5-1,,
BW,Gumare,BW-EZUgD6,Gumare-9-1,22.06,-19.4123
BW,Paje,BW-fILOCP,Paje-13-1,26.5175,-21.7908
BW,Gumare,BW-guuSdP,Gumare-16-1,22.0791,-19.3415
BW,Shoshong,BW-IDpvy6,Shoshong-15-1,26.463221,-23.031214
BW,Paje,BW-jGnli1,Paje-1-1,26.458,-21.7905
BW,Gumare,BW-jq9ht2,Gumare-14-1,22.0855,-19.3945
BW,Shoshong,BW-Jqwziw,Shoshong-12-1,26.442451,-23.006292
BW,Shoshong,BW-JXT3KN,Shoshong-2-1,,
BW,Gumare,BW-jxyXdZ,Gumare-11-1,22.062,-19.3763
BW,Paje,BW-lPhdzp,Paje-7-1,26.4813,-21.7559
BW,Paje,BW-lUqABo,Paje-9-2,26.5087,-21.7992
BW,Gumare,BW-MJmeU1,Gumare-8-1,22.0368,-19.341
BW,Paje,BW-nk2XGy,Paje-2-1,26.4554,-21.7779
BW,Paje,BW-OP79iX,Paje-12-1,26.4957,-21.7232
BW,Gumare,BW-OZuFFW,Gumare-15-1,22.0829,-19.3686
BW,Paje,BW-pbVpYT,Paje-3-1,26.4592,-21.7522
BW,Shoshong,BW-PmteSp,Shoshong-6-1,,
BW,Paje,BW-PsGfY1,Paje-16-1,26.5229,-21.731
BW,Gumare,BW-Q4vvLt,Gumare-6-1,22.039,-19.3952
BW,Gumare,BW-qgBoNB,Gumare-2-1,22.0256,-19.3975
BW,Paje,BW-QNZvou,Paje-5-1,26.4815,-21.7919
BW,Gumare,BW-R6TVpH,Gumare-12-1,22.0571,-19.3513
BW,Gumare,BW-Rj8RUZ,Gumare-13-1,22.0793,-19.4209
BW,Paje,BW-Rn3llu,Paje-10-1,26.5008,-21.7756
BW,Paje,BW-T4ZHHK,Paje-11-1,26.5039,-21.749
BW,Shoshong,BW-uDL2rH,Shoshong-7-1,26.41897,-23.029856
BW,Paje,BW-uLMaup,Paje-4-1,26.457,-21.7213
BW,Gumare,BW-Uz1CKC,Gumare-1-1,22.0154,-19.4157
BW,Shoshong,BW-v0JL22,Shoshong-9-1,26.435555,-23.070667
BW,Shoshong,BW-YNU9uN,Shoshong-10-1,26.437384,-23.058479
BW,Paje,BW-z08IKD,Paje-8-1,26.4797,-21.7275
BW,Gumare,BW-zJK52z,Gumare-10-1,22.0671,-19.3947
BW,Shoshong,BW-zSM230,Shoshong-16-1,26.466368,-23.004168
CM,Bana,CM-1NGFu1,Bana-6-3,10.251032,5.253965
CM,Bana,CM-bo0hvV,Bana-14-8,10.28552,5.25533
CM,Bana,CM-bOniI5,Bana-7-2,10.242555,5.279538
CM,Bana,CM-CVdbgW,Bana-1-5,10.226835,5.232845
CM,Bana,CM-E0DVS4,Bana-8-8,10.249175,5.304273
CM,Bana,CM-isGDJh,Bana-5-9,10.258085,5.238615
CM,Bana,CM-Jt4Zs3,Bana-9-1,10.271853,5.232538
CM,Bana,CM-k1gT82,Bana-3-1,10.229137,5.282367
CM,Bana,CM-lJ60Ux,Bana-11-2,10.272248,5.282523
CM,Bana,CM-lw0TAc,Bana-16-7,10.293825,5.300458
CM,Bana,CM-NltQDG,Bana-12-3,10.266822,5.297223
CM,Bana,CM-OfDn9V,Bana-2-1,10.223367,5.261783
CM,Bana,CM-QbSK73,Bana-4-1,10.22817,5.303093
CM,Bana,CM-tSk4Rm,Bana-10-1,10.267777,5.255457
CM,Bana,CM-YFprGF,Bana-13-1,10.288712,5.233795
CM,Bana,CM-yjVtLc,Bana-15-5,10.285133,5.284657
ET,Kutaber,ET-0sh7IY,Kutaber-5-1,39.595234,11.25987
ET,Merar,ET-1Dmony,Merar-11-1,42.708038,9.616448
ET,Dambidolo,ET-1wc1Gq,Dambidolo-11-1,35.029861,8.61844
ET,Mega,ET-2urfxb,Mega-7-1,38.282288,4.192852
ET,Kutaber,ET-4Cjktf,Kutaber-8-5,39.590752,11.33642
ET,Merar,ET-71dXL1,Merar-1-3,42.666794,9.574855
ET,Merar,ET-7V5DSR,Merar-16-2,42.738422,9.636652
ET,Kutaber,ET-8kBycJ,Kutaber-3-2,39.572636,11.308273
ET,Kutaber,ET-96Thq4,Kutaber-14-1,39.639381,11.287575
ET,Merar,ET-b7AcKm,Merar-5-2,42.692375,9.568018
ET,Mega,ET-beh9Qd,Mega-15-1,38.332199,4.193222
ET,Kutaber,ET-bfxgF2,Kutaber-10-6,39.615223,11.283935
ET,Dambidolo,ET-BM104o,Dambidolo-1-1,34.979774,8.576895
ET,Kutaber,ET-bqw8ig,Kutaber-6-1,39.593994,11.2826
ET,Merar,ET-Cpfe92,Merar-10-1,42.708057,9.592545
ET,Mega,ET-cw0nz2,Mega-12-1,38.312885,4.209178
ET,Mega,ET-d9cnRX,Mega-2-1,38.26189,4.178087
ET,Mega,ET-E53ZwX,Mega-14-1,38.332561,4.160913
ET,Merar,ET-Ecv3d5,Merar-8-6,42.691422,9.635978
ET,Dambidolo,ET-EfT3M5,Dambidolo-8-1,34.998833,8.644138
ET,Dambidolo,ET-EvzHrd,Dambidolo-7-1,35.007782,8.627145
ET,Mega,ET-FHKUkg,Mega-11-1,38.306042,4.192768
ET,Dambidolo,ET-fjDdKT,Dambidolo-6-2,35.000599,8.599288
ET,Merar,ET-foKvLH,Merar-3-7,42.665039,9.615043
ET,Kutaber,ET-gTmVz8,Kutaber-7-5,39.596409,11.311502
